v_ego,v_followed,v_oncoming,dist_flw_m,dist_oncom_m,engine_power_kw,weight_kg,road_friction,target
120.59,80.03,110.8,21.03,1237.35,303.48,1892.48,0.46,1
64.15,58.96,111.93,39.49,831.04,173.34,1514.3,0.78,0
56.18,72.24,52.53,40.76,714.92,95.11,2686.11,0.77,0
125.54,46.35,86.83,42.36,1284.72,118.11,2775.59,0.89,1
68.29,100.76,109.04,11.94,1450.63,255.09,2791.63,0.36,1
51.61,106.24,60.11,10.43,1178.39,239.47,2985.93,0.71,1
97.22,74.93,88.42,32.87,146.68,303.79,2798.5,0.64,0
100.21,100.41,87.47,20.93,564.81,146.95,1530.41,0.36,0
119.84,81.29,115.79,33.36,974.38,209.84,2790.81,0.68,1
128.79,100.44,91.56,11.96,794.69,179.09,1620.27,0.2,1
67.94,40.16,117.96,14.25,1058.42,301.25,1609.58,0.73,1
84.5,69.04,81.68,49.43,911.7,230.15,2218.77,0.49,0
95.33,56.14,95.5,41.18,586.41,137.51,2443.74,0.59,1
96.15,89.08,118.84,46.69,1258.09,108.62,2702.5,0.46,0
53.66,88.43,60.26,49.76,1232.19,115.91,2370.9,0.88,0
85.71,81.22,92.18,48.63,1325.77,306.83,2164.64,0.43,0
92.06,109.16,112.01,11.02,1104.2,242.09,1354.89,0.64,0
103.46,49.14,93.76,27.31,1070.49,263.58,2678.77,0.38,1
115.54,81.0,114.98,16.22,896.41,81.42,1462.25,0.62,1
86.03,88.97,83.47,20.86,1377.58,77.62,2396.53,0.76,1
62.08,89.51,82.12,24.39,1151.1,182.96,1985.87,0.91,0
50.0,58.84,53.12,46.13,1395.85,115.15,2114.82,0.55,1
63.39,48.53,107.42,41.48,1333.95,297.97,2782.12,0.56,1
56.68,46.83,112.71,43.27,231.81,184.66,1673.6,0.72,0
88.19,63.96,59.7,14.25,1227.72,198.93,2218.19,0.71,1
106.24,45.58,101.93,20.95,349.22,336.6,2836.68,0.45,0
83.8,76.29,60.44,26.74,276.35,268.91,2810.95,0.9,0
91.27,43.74,69.67,21.23,1189.96,189.96,2156.99,0.95,1
71.77,72.17,117.94,48.59,1167.79,190.19,2677.26,0.99,0
106.08,91.77,79.06,12.41,953.3,151.89,2814.37,0.97,1
127.98,40.37,127.66,45.84,765.26,202.6,2510.95,0.86,1
68.09,78.74,72.78,24.96,1017.08,77.22,1916.54,0.43,0
55.32,95.69,90.72,40.7,1440.69,132.93,2023.02,0.46,0
97.69,95.44,56.93,35.04,1303.1,151.87,1888.62,0.56,0
67.97,56.63,61.65,16.52,275.93,191.24,2246.44,0.81,0
117.96,55.81,51.59,41.7,537.03,165.54,1579.38,0.71,1
99.2,108.27,84.91,18.16,595.05,326.69,1897.82,0.78,0
119.15,85.09,92.33,14.35,1065.69,78.01,1810.75,0.51,1
102.99,41.3,82.72,15.3,753.19,117.39,2358.14,0.75,1
77.23,55.93,76.54,34.25,1494.56,287.93,2953.33,0.57,1
87.49,67.36,79.63,10.87,861.23,321.53,2183.3,0.67,1
97.89,63.8,98.58,13.33,1028.59,340.68,1672.26,0.27,1
126.92,107.4,125.75,44.48,1187.68,241.05,2385.6,0.23,0
87.77,40.6,60.75,28.34,752.57,183.46,1654.05,0.5,1
75.84,67.24,68.85,47.25,401.57,314.42,2997.99,0.73,0
79.69,46.63,110.46,34.9,1025.02,264.45,2961.47,0.43,1
108.12,50.46,94.83,20.16,1308.3,221.87,1931.93,0.83,1
62.98,59.79,99.07,40.81,1275.92,291.23,1427.38,0.44,0
63.14,104.8,73.19,39.96,1345.63,322.9,1750.8,0.66,0
126.53,86.69,119.89,31.44,1061.01,206.95,2726.78,0.28,1
125.78,54.8,77.56,48.37,1319.8,131.63,2835.85,0.31,1
110.88,53.84,101.37,32.55,677.04,229.8,2605.12,0.92,1
98.35,98.12,113.21,44.09,1121.05,231.98,1872.62,0.99,0
63.07,95.39,126.97,40.95,134.19,101.72,2747.1,0.87,0
66.68,63.24,95.94,35.1,1419.07,320.0,2169.26,0.28,0
99.67,105.62,99.73,35.12,886.37,276.32,2696.67,0.57,0
117.76,82.47,66.12,16.91,355.92,222.86,2191.53,0.24,0
127.55,41.95,98.41,31.06,217.1,223.66,2634.62,0.86,0
100.1,68.33,87.49,25.65,1413.18,216.0,2740.11,0.47,1
87.01,102.37,63.23,26.15,1314.41,108.12,1640.14,0.64,1
86.87,58.38,76.42,10.13,900.73,301.25,1924.13,0.73,1
112.81,40.18,93.5,25.67,1122.7,215.2,1791.2,0.28,1
105.07,79.68,53.02,49.2,1255.3,156.47,1588.48,0.71,1
74.62,101.14,117.01,24.72,1132.81,101.45,1510.76,0.94,0
99.27,77.63,84.77,43.35,896.0,154.55,1797.4,0.87,1
114.87,62.16,126.29,41.23,1117.43,100.47,2275.08,0.38,1
115.9,44.76,66.08,30.17,905.84,267.19,1924.3,0.78,1
53.15,99.72,78.06,44.04,739.24,99.21,1669.59,0.88,0
59.65,56.36,108.27,26.71,120.72,99.71,2377.97,0.95,0
106.53,70.49,82.3,43.23,1043.49,146.3,1921.31,0.61,1
110.74,94.69,72.56,17.64,696.24,98.36,2656.7,0.93,0
104.08,79.95,103.96,46.05,299.0,275.72,1999.87,0.74,0
103.42,63.7,87.85,40.83,307.32,163.8,1649.42,0.84,0
65.57,40.27,101.55,31.82,1020.58,245.06,2077.09,0.45,1
117.13,68.66,103.84,33.24,422.04,252.3,1321.03,0.69,0
94.69,80.54,78.44,49.71,231.83,333.92,2291.48,0.56,0
83.7,87.41,126.32,18.08,1054.28,267.1,2766.64,0.33,0
129.74,46.28,109.61,11.91,1373.49,270.42,1591.93,0.69,1
115.0,95.86,96.91,12.13,1299.96,95.83,1687.94,0.45,1
109.38,53.03,124.46,40.71,1442.93,88.1,2494.24,0.29,1
80.07,101.69,50.82,40.39,666.04,230.17,2504.24,0.96,0
80.89,109.32,80.42,10.42,1164.75,277.1,1481.25,0.29,1
68.25,93.27,98.55,47.87,716.39,261.42,1956.04,0.38,0
119.89,68.25,110.4,24.5,713.34,201.65,1956.68,0.71,1
80.16,71.89,65.61,27.13,398.37,309.36,2321.49,0.88,0
51.1,56.95,93.4,46.61,1008.16,331.86,2315.14,0.7,0
103.82,109.72,88.64,34.32,1254.41,221.09,1643.97,0.79,0
51.15,75.01,75.07,46.25,955.1,173.94,2988.84,0.86,0
95.76,103.95,55.85,25.46,1059.74,130.28,2206.78,0.31,0
73.39,94.83,61.22,41.19,347.94,112.89,2847.71,0.88,0
106.51,109.02,65.95,40.48,593.59,281.52,1838.13,0.3,0
56.15,77.0,120.51,37.63,711.2,195.24,1464.26,0.53,0
115.36,88.16,108.44,46.26,396.04,177.03,2335.97,0.91,0
81.35,82.96,52.93,40.63,290.13,200.13,2498.6,0.96,0
67.77,90.93,98.9,27.23,1148.02,309.62,1653.31,0.7,0
51.53,55.41,62.44,30.7,734.53,214.84,1782.83,0.86,0
107.92,51.79,92.97,20.72,1135.45,120.29,1467.27,0.88,1
69.29,67.94,88.38,22.98,1047.64,221.12,1674.05,0.57,0
91.57,41.38,111.87,40.92,980.38,105.98,2769.71,0.4,1
125.32,51.22,100.45,38.77,917.27,248.56,1865.9,0.24,1
82.98,74.48,110.69,49.79,641.29,96.6,2997.44,0.35,0
112.33,59.74,97.68,43.73,994.62,275.77,2738.19,0.61,1
113.51,99.23,82.72,32.63,181.24,129.79,2263.03,0.26,0
95.65,62.42,81.96,41.4,1264.15,103.74,1832.04,0.77,1
64.76,80.7,112.37,22.39,911.67,279.78,2791.74,0.89,0
91.8,43.09,119.11,28.99,430.29,116.96,2422.7,0.31,0
69.79,101.4,57.23,36.16,566.79,250.18,2062.25,0.46,0
83.76,71.77,76.99,19.04,1191.15,115.18,2071.92,0.46,1
113.11,100.27,108.83,11.32,599.16,254.36,1790.8,0.67,0
119.94,51.98,75.8,30.56,460.73,180.37,1351.17,0.84,1
99.04,45.98,103.65,39.8,513.86,87.1,1603.8,0.36,1
103.81,90.6,67.91,16.27,1081.79,166.01,2507.57,0.54,1
61.14,53.41,117.81,14.63,152.48,242.0,2348.12,0.45,0
119.74,78.2,68.55,48.35,602.09,162.78,2015.14,0.3,1
53.86,43.88,52.57,12.74,1377.33,136.17,2244.67,0.41,1
72.57,83.51,75.36,15.47,624.62,102.77,1717.44,0.28,0
106.5,86.49,112.83,48.7,783.99,275.45,1614.31,0.94,0
114.94,92.45,110.87,16.71,203.01,184.78,2447.62,0.91,0
96.23,81.35,119.69,25.52,1250.11,229.82,2810.13,0.6,1
123.66,96.03,110.15,35.1,1472.14,281.18,2162.32,0.58,1
119.89,59.17,124.58,17.38,989.58,133.07,1583.05,0.59,1
50.37,71.21,54.42,44.72,175.56,210.99,2432.78,0.41,0
56.47,84.36,74.77,34.73,213.95,262.06,1951.56,0.2,0
69.82,75.73,119.8,29.53,952.69,191.37,1804.47,0.83,0
96.93,79.35,72.09,22.98,343.88,83.57,2753.86,0.57,0
101.95,42.34,97.97,26.81,1031.49,224.77,2557.61,0.21,1
114.51,87.4,96.3,45.79,412.59,176.55,2432.02,0.66,0
81.34,42.52,58.45,48.84,998.64,299.91,2844.9,0.49,1
115.53,97.59,104.27,31.28,790.0,93.3,2836.33,0.53,0
129.77,58.13,67.08,17.5,491.57,303.48,1314.29,0.49,1
112.8,100.9,58.83,45.78,1479.8,258.56,1593.29,0.91,1
125.49,65.67,123.21,30.68,1049.66,273.19,1681.53,0.23,1
119.24,52.31,72.82,22.83,155.53,343.88,1926.01,0.34,0
58.21,80.4,77.62,36.83,955.41,233.81,2311.2,0.8,0
95.92,58.52,71.87,35.47,968.29,273.12,1609.49,0.58,1
53.21,55.98,115.8,12.75,188.83,83.26,1553.87,0.63,0
80.03,96.52,113.43,47.26,1366.43,243.07,1705.87,0.99,0
67.43,107.95,67.38,29.59,874.94,145.16,2474.8,0.84,0
80.05,52.54,124.04,46.81,995.86,204.74,1829.68,0.88,1
96.9,86.4,77.11,28.34,1195.07,211.88,2692.26,0.52,1
115.92,78.84,52.74,12.52,108.5,77.31,1673.95,0.95,0
106.7,100.13,115.18,23.03,1109.49,275.91,2438.0,0.22,0
82.83,107.06,51.12,46.44,1287.13,292.52,1718.85,0.35,0
99.12,64.24,63.95,12.84,1156.33,301.94,2791.0,0.6,1
96.85,105.94,126.7,39.84,1324.21,338.5,1376.83,0.48,0
83.39,79.15,129.48,20.67,534.43,206.75,1511.5,0.88,0
114.63,76.2,98.79,13.29,545.66,252.03,2466.84,0.48,1
62.03,85.07,106.47,34.36,795.49,295.4,1303.34,0.83,0
63.46,46.64,91.28,14.2,577.18,214.41,2811.37,0.93,1
63.28,59.47,129.13,22.98,1447.17,241.06,1474.97,0.78,0
50.08,106.54,105.63,13.6,803.42,141.95,1917.73,0.97,0
90.05,101.05,72.13,36.97,364.78,295.04,2235.62,0.39,0
123.47,91.37,90.91,15.04,326.5,272.26,2369.11,0.6,0
98.94,50.82,68.62,16.75,1162.77,97.17,2968.8,0.92,1
96.93,75.36,64.51,20.38,101.53,210.49,2795.63,0.79,0
116.07,85.58,64.91,37.1,1045.01,240.23,2186.32,0.77,1
124.93,69.74,74.43,26.1,605.48,103.91,2157.63,0.48,1
56.41,88.57,77.3,41.69,743.87,208.94,1778.97,0.37,0
113.72,72.47,94.3,23.55,1204.49,86.53,1719.59,0.93,1
58.14,74.7,76.74,13.6,600.32,340.78,2668.23,0.59,0
94.56,66.15,103.78,21.9,1056.9,197.11,2009.23,0.28,1
73.72,103.09,51.47,34.72,522.12,269.04,2628.44,0.89,0
120.01,65.75,85.04,23.5,506.36,175.55,2369.71,0.98,1
65.94,64.71,91.77,42.22,671.61,140.43,1752.85,0.27,0
63.08,82.04,84.03,12.93,336.54,134.59,2703.97,0.35,0
115.77,90.14,108.88,12.46,392.83,176.92,2517.73,0.34,0
101.67,88.02,92.84,16.44,1466.78,165.58,1343.66,0.27,1
79.25,82.26,103.31,26.44,1040.14,324.48,2083.99,0.65,0
93.22,45.26,127.05,14.55,909.49,131.17,2497.6,0.67,1
104.71,96.27,56.03,39.91,111.85,205.67,2322.29,0.29,0
68.7,68.17,119.87,19.98,449.37,348.35,2920.99,0.39,0
113.51,60.25,61.0,27.43,600.13,324.56,2418.86,0.35,1
63.91,52.5,58.33,23.13,289.13,111.64,2878.57,0.6,0
117.54,82.47,91.26,10.56,535.39,216.82,2713.51,0.69,1
110.41,59.26,74.78,46.8,241.97,278.25,1568.68,0.67,0
62.42,91.26,53.09,42.0,1332.87,124.45,2455.42,0.79,1
78.25,109.89,53.59,36.01,738.01,107.03,1686.16,0.86,0
111.0,93.4,63.58,36.74,1403.17,203.22,2920.11,0.44,1
56.05,45.51,109.85,22.14,1316.88,110.31,1703.92,1.0,1
87.3,58.55,94.6,25.26,723.06,177.52,2494.44,0.63,1
118.6,84.38,86.7,25.78,355.64,229.56,1352.86,0.88,0
62.86,52.65,100.35,13.54,369.0,250.55,2425.04,0.54,0
55.33,99.54,84.39,45.13,1089.87,118.29,2980.9,0.63,0
54.92,59.61,54.86,40.07,929.94,157.03,1699.08,0.51,0
115.04,43.66,53.36,45.19,183.16,82.49,2264.59,0.37,0
112.59,56.09,85.37,11.09,926.15,106.14,2411.29,0.61,1
50.99,102.66,112.78,48.87,591.19,86.97,2329.94,0.33,0
95.21,56.09,50.2,34.28,750.94,189.53,2692.5,0.77,1
68.67,72.89,114.05,40.66,284.67,224.25,2001.28,0.4,0
66.71,90.51,105.15,33.97,950.55,312.34,2583.53,0.98,0
83.13,101.35,71.74,13.08,1218.8,131.97,2475.46,0.58,1
110.19,62.45,94.74,24.23,550.01,323.03,2523.46,0.37,1
129.2,97.85,104.41,43.29,1312.07,155.57,2058.57,0.75,1
95.26,101.32,111.72,48.58,904.76,315.0,1603.08,0.23,0
118.3,106.13,93.42,19.44,512.63,240.13,2524.17,0.41,0
109.33,64.12,127.49,15.41,1000.62,243.19,1577.77,0.62,1
97.27,90.43,61.5,49.92,1268.43,187.21,2707.03,0.69,0
69.75,65.42,54.8,23.76,751.06,158.69,1595.08,0.99,0
114.08,65.58,96.34,39.23,281.42,186.62,2688.35,0.29,0
126.32,47.47,58.36,26.63,996.97,249.8,2883.39,0.41,1
118.24,73.26,51.59,20.86,641.75,137.58,2386.75,0.65,1
91.0,76.42,113.44,36.95,629.81,271.14,2082.31,0.71,0
54.18,95.49,127.94,10.87,1223.5,166.85,2629.98,0.68,1
79.85,70.91,63.76,12.5,1467.56,129.03,2724.57,0.54,1
50.05,77.63,71.21,25.58,1125.16,165.97,1783.55,0.32,1
69.05,104.17,72.76,23.97,374.83,161.09,2773.42,0.8,0
96.85,75.08,86.64,48.13,249.43,155.46,2479.02,0.24,0
110.34,70.77,95.73,10.38,1315.75,326.51,1410.11,0.99,1
95.11,65.43,76.26,19.59,1458.9,192.93,2118.96,0.68,1
97.61,101.68,108.73,21.52,1496.09,300.18,2874.08,0.88,0
87.01,68.26,109.11,44.71,1035.18,293.19,1347.86,0.74,1
72.96,49.95,56.88,35.98,920.61,171.34,2543.89,0.52,1
94.54,107.08,58.79,29.78,387.12,118.98,2205.66,0.41,0
77.86,108.21,97.22,28.13,539.98,277.21,2563.84,0.91,0
80.65,83.58,118.7,42.41,1458.87,146.87,1869.07,0.2,0
59.65,42.79,82.3,20.58,650.12,274.97,1410.11,0.5,1
67.76,74.15,124.57,18.93,450.19,242.52,2602.86,0.94,0
117.03,57.86,123.32,22.82,1123.21,299.55,1583.75,0.21,1
81.57,108.44,89.84,20.38,629.01,298.61,1845.66,0.8,0
106.16,105.79,78.84,24.25,1280.56,145.76,1735.86,0.93,0
122.19,58.43,115.14,41.38,561.49,102.14,2157.37,0.61,1
118.11,92.98,78.43,16.31,1276.57,205.64,1962.4,0.52,1
99.93,89.73,66.2,41.59,1131.46,127.26,2337.41,0.7,0
60.04,96.57,117.96,38.87,1490.63,183.81,1510.56,1.0,0
71.94,109.02,125.42,46.12,281.73,261.21,1846.0,0.9,0
62.8,53.74,128.23,46.88,133.12,119.03,2413.89,0.56,0
96.62,48.38,118.45,22.5,1391.36,97.47,1389.14,0.96,1
119.29,57.5,100.03,43.84,1115.92,219.33,2064.8,0.62,1
120.9,66.56,119.92,28.02,1123.81,226.53,1542.65,0.42,1
76.03,64.29,75.34,27.54,1036.53,104.93,2663.3,0.67,1
74.42,56.35,72.23,49.01,1403.04,349.56,2360.83,0.24,1
60.97,68.55,59.14,17.32,464.88,100.33,2948.35,0.99,0
129.75,91.52,121.13,40.94,408.86,81.38,1499.16,0.99,0
83.58,47.41,83.08,11.83,450.79,156.65,2463.57,0.59,1
96.3,78.81,53.55,28.73,903.56,242.79,2283.73,0.96,1
81.82,101.15,91.85,38.89,1099.39,86.64,1682.72,0.51,0
103.08,50.47,129.43,10.16,188.45,247.48,2548.54,0.62,0
102.18,41.64,106.57,24.5,1406.78,78.68,1679.05,0.88,1
90.22,109.41,92.13,36.67,1439.56,170.95,1685.88,0.65,0
79.72,44.89,112.46,38.08,1380.11,295.87,2008.09,0.36,1
52.34,98.53,103.77,17.91,147.1,218.74,2252.16,0.37,0
120.98,80.38,110.58,33.81,804.11,245.46,2834.15,0.93,1
63.41,101.77,86.21,41.83,1122.83,196.87,1320.44,0.27,0
97.94,76.17,109.88,16.62,404.94,296.7,1804.35,0.21,0
128.49,55.35,63.95,28.68,1119.03,322.21,1527.68,0.68,1
60.04,85.13,110.36,25.24,1129.96,300.24,2578.56,0.82,0
97.49,41.86,121.32,42.37,188.76,333.46,1685.42,0.51,0
70.19,46.39,91.98,14.34,1421.16,268.62,2055.31,0.87,1
90.05,47.21,73.93,26.04,862.49,75.34,2819.02,0.86,1
69.13,60.38,74.91,27.65,828.8,256.03,1494.36,0.48,0
75.88,62.6,54.84,12.04,929.89,132.29,1668.21,0.38,1
95.07,48.18,77.72,33.94,172.05,164.87,2363.27,0.95,0
84.6,92.18,89.64,12.22,1474.93,109.8,1450.58,0.56,1
84.02,57.18,110.01,10.59,1390.7,249.37,2578.52,0.6,1
53.14,84.4,109.29,27.68,787.73,247.94,2971.7,0.23,0
112.56,88.0,51.32,15.62,1426.89,150.73,2400.86,0.6,1
97.61,43.49,125.0,28.68,242.97,217.33,1914.88,0.24,0
78.8,88.24,82.88,44.19,128.01,145.82,2471.82,0.6,0
63.46,79.39,116.89,37.39,346.44,93.13,2719.48,0.35,0
95.07,46.7,58.13,12.01,729.75,297.41,2599.73,0.59,1
81.67,88.68,121.07,10.71,755.62,116.26,1968.98,0.73,0
96.66,40.82,52.8,17.65,394.28,326.83,2360.22,0.51,1
62.36,51.37,98.01,25.18,1346.46,80.15,2698.02,0.53,1
89.67,92.94,73.05,47.21,119.24,181.46,2933.09,0.87,0
103.49,58.74,114.96,36.36,132.13,273.41,2112.29,0.68,0
69.92,100.09,53.67,43.08,787.78,114.88,1339.13,0.53,0
88.66,57.27,116.0,31.39,1104.04,155.56,2281.17,0.72,1
63.86,107.12,67.88,19.33,1078.98,146.43,1821.29,0.21,1
127.76,81.07,93.51,43.93,1480.12,259.15,2006.92,0.48,1
80.75,62.62,82.66,20.6,443.57,278.38,2220.94,0.4,0
75.87,81.75,116.92,38.9,1314.2,201.34,1458.66,0.54,0
60.27,90.99,86.71,42.49,167.92,204.62,2100.89,0.43,0
69.97,83.88,104.08,30.88,160.32,75.03,2835.56,0.55,0
129.25,81.14,124.81,40.02,795.51,145.65,2770.21,0.68,1
50.8,47.56,76.15,26.58,181.54,141.61,1394.49,0.98,0
75.89,85.52,110.43,49.02,918.22,197.99,2915.31,0.96,0
83.74,72.07,123.77,33.34,669.19,84.18,1810.16,0.83,0
85.21,104.58,57.98,26.59,163.36,305.44,1356.07,0.75,0
121.09,67.6,123.21,24.76,1176.34,291.93,1941.5,0.91,1
58.79,43.84,83.59,34.15,1179.46,113.97,2300.66,0.79,1
50.55,76.16,57.59,11.02,302.99,127.88,2913.22,0.37,0
57.93,72.24,103.97,34.45,1432.16,202.32,1587.13,0.97,0
122.58,74.05,68.67,38.68,359.0,181.52,1461.04,0.34,0
78.62,101.62,127.87,11.79,1239.74,274.36,1371.65,0.23,0
64.86,67.2,67.59,42.26,1343.36,296.9,2559.88,0.44,0
104.37,69.11,105.24,47.17,702.23,150.41,2957.44,0.29,1
55.01,96.41,76.33,41.88,1087.8,159.77,1721.88,0.48,0
100.03,63.16,127.77,18.62,149.34,309.09,2263.83,0.33,0
93.71,70.71,77.52,39.54,246.67,123.51,2392.18,0.29,0
92.58,49.59,127.19,37.68,556.59,114.49,2129.55,0.4,0
125.36,61.91,107.34,34.66,1288.13,229.79,2158.58,0.76,1
81.72,62.04,58.82,31.81,253.63,181.0,1646.67,0.84,0
102.54,96.1,53.38,15.25,296.22,273.16,2618.95,0.78,0
121.69,104.72,69.95,11.43,1434.5,303.48,1860.44,0.63,1
100.22,47.49,94.62,22.52,509.05,332.38,2093.4,0.7,1
65.7,77.06,126.5,18.81,1275.7,309.37,2732.91,0.95,0
54.94,68.27,129.24,11.22,656.59,272.19,1300.01,0.24,0
104.78,61.72,113.7,36.51,696.85,233.87,2618.25,0.31,1
108.8,85.29,107.25,26.14,362.6,129.45,2938.99,0.64,0
