v_ego,v_followed,v_oncoming,dist_flw_m,dist_oncom_m,engine_power_kw,weight_kg,road_friction,rel_v_oncoming,rel_v_followed,target
95.21,44.9,102.37,19.62,926.13,241.91,1535.94,0.35,197.57999999999998,50.309999999999995,1
61.43,65.2,109.23,44.91,778.64,290.17,1445.6,0.6,170.66,-3.770000000000003,0
115.77,80.38,54.16,28.02,127.83,220.52,2154.99,0.87,169.93,35.39,0
90.49,81.68,78.42,49.28,799.17,233.62,2352.56,1.0,168.91,8.809999999999988,0
114.81,40.7,124.27,30.88,208.74,242.29,2004.45,0.35,239.07999999999998,74.11,0
54.98,105.3,100.54,40.2,1178.69,136.66,2044.58,0.61,155.52,-50.32,0
55.02,72.15,120.2,25.43,1092.19,197.21,2397.48,0.54,175.22,-17.130000000000003,0
96.58,75.78,89.32,29.26,1271.13,287.27,1692.38,0.26,185.89999999999998,20.799999999999997,1
80.18,54.53,85.98,10.87,1144.99,281.94,2715.88,0.39,166.16000000000003,25.650000000000006,1
55.01,89.46,85.85,37.03,1376.43,294.17,1355.87,0.62,140.85999999999999,-34.449999999999996,0
72.19,101.67,82.87,23.94,570.28,227.0,2164.19,0.78,155.06,-29.480000000000004,0
78.27,90.41,108.84,14.71,189.43,75.07,1897.31,0.85,187.11,-12.14,0
112.05,42.55,119.01,48.11,1439.24,99.65,2501.73,0.78,231.06,69.5,1
124.17,49.61,103.39,24.56,1026.02,183.79,1991.85,0.48,227.56,74.56,1
81.77,69.99,80.69,38.76,1469.84,236.69,2221.73,0.89,162.45999999999998,11.780000000000001,1
127.04,68.19,68.69,37.17,230.5,310.44,2709.23,0.94,195.73000000000002,58.85000000000001,0
83.58,80.82,121.61,10.74,714.27,87.57,1802.95,0.48,205.19,2.760000000000005,0
83.19,108.12,51.99,45.63,117.72,294.33,1689.06,0.68,135.18,-24.930000000000007,0
80.74,64.74,112.03,47.02,1127.75,220.86,2649.7,0.88,192.76999999999998,16.0,0
129.59,60.72,70.93,38.12,1097.61,289.1,2081.34,0.27,200.52,68.87,1
120.18,72.97,95.05,34.18,755.29,174.86,2811.36,0.57,215.23000000000002,47.21000000000001,1
68.88,52.97,101.99,45.46,189.36,144.13,2821.75,0.2,170.87,15.909999999999997,0
54.76,62.15,99.56,15.61,285.2,242.82,2406.99,0.75,154.32,-7.390000000000001,0
62.23,70.67,110.54,39.78,585.21,299.84,2218.18,0.87,172.77,-8.440000000000005,0
73.72,41.38,119.09,19.58,274.19,244.96,2688.97,0.48,192.81,32.339999999999996,0
51.87,61.66,70.29,20.4,853.68,124.14,2674.28,0.26,122.16,-9.79,0
69.88,77.2,63.13,48.83,687.82,226.74,2032.65,0.62,133.01,-7.320000000000007,0
61.78,93.35,51.57,37.77,898.9,251.2,1941.04,0.39,113.35,-31.569999999999993,0
50.31,86.95,122.88,19.56,1277.83,174.44,2151.13,0.72,173.19,-36.64,0
118.46,90.21,76.64,17.49,1162.14,214.1,2329.48,0.73,195.1,28.25,1
103.73,73.92,90.22,11.34,1051.82,142.02,2044.01,0.85,193.95,29.810000000000002,1
67.28,53.7,110.96,31.52,445.68,342.74,2089.25,0.49,178.24,13.579999999999998,0
106.29,93.11,65.19,49.04,800.69,148.8,1653.75,0.22,171.48000000000002,13.180000000000007,0
84.3,65.31,81.32,16.59,982.26,173.54,2301.09,0.81,165.62,18.989999999999995,1
106.33,61.45,69.21,43.31,1190.04,219.99,2626.35,0.8,175.54,44.879999999999995,1
98.09,107.69,76.66,42.7,1003.12,205.9,2277.35,0.99,174.75,-9.599999999999994,0
67.91,44.86,82.64,38.18,227.75,167.92,2216.94,0.55,150.55,23.049999999999997,0
124.27,52.02,98.54,46.6,258.8,127.04,2421.5,0.96,222.81,72.25,0
84.2,47.13,118.2,13.45,1322.25,228.74,2916.43,0.25,202.4,37.07,1
93.81,48.7,74.26,48.14,361.18,84.95,1673.96,0.3,168.07,45.11,0
63.99,65.84,55.79,39.02,786.67,272.32,1408.23,0.81,119.78,-1.8500000000000014,0
91.8,46.94,98.54,38.07,1101.68,205.53,2763.01,0.45,190.34,44.86,1
75.72,97.53,72.95,13.48,845.29,234.85,1322.14,0.98,148.67000000000002,-21.810000000000002,0
77.69,58.94,125.0,29.04,1417.71,330.88,2736.19,0.9,202.69,18.75,1
67.34,93.2,50.67,46.24,852.97,104.05,2617.74,0.42,118.01,-25.86,0
56.54,76.35,61.09,16.67,127.02,112.69,2847.39,0.94,117.63,-19.809999999999995,0
78.81,99.44,114.99,32.77,883.95,333.78,1712.43,0.88,193.8,-20.629999999999995,0
90.59,63.51,88.14,14.33,417.18,235.61,1850.03,0.24,178.73000000000002,27.080000000000005,0
118.3,41.18,95.32,36.66,722.45,139.89,2471.12,0.39,213.62,77.12,1
114.28,98.55,85.85,14.01,1179.84,290.59,1915.32,0.74,200.13,15.730000000000004,1
89.09,47.56,124.72,16.39,806.41,348.68,2029.18,0.73,213.81,41.53,1
126.18,56.73,81.14,13.74,613.62,340.23,1428.04,0.43,207.32,69.45000000000002,1
88.87,96.71,78.39,26.51,881.59,227.48,2554.51,0.8,167.26,-7.839999999999989,0
53.86,67.72,80.68,24.76,913.57,93.82,1779.51,0.22,134.54000000000002,-13.86,0
115.53,100.95,52.49,42.63,134.52,221.29,1465.28,0.76,168.02,14.579999999999998,0
115.81,56.18,90.02,11.86,666.52,323.3,1857.95,0.64,205.82999999999998,59.63,1
93.41,96.25,84.57,42.81,509.42,319.94,2956.26,0.52,177.98,-2.8400000000000034,0
127.85,71.28,101.04,41.2,733.55,183.58,2633.89,0.62,228.89,56.56999999999999,1
69.75,97.49,129.45,18.26,1048.07,283.03,2838.74,0.71,199.2,-27.739999999999995,0
125.78,85.47,93.14,11.78,108.52,168.71,1543.37,0.44,218.92000000000002,40.31,0
56.84,99.13,83.74,11.66,115.35,94.67,2110.85,0.27,140.57999999999998,-42.28999999999999,0
61.0,87.96,75.51,10.23,248.09,96.76,1860.88,0.45,136.51,-26.959999999999994,0
89.72,82.02,86.26,11.72,497.38,152.36,2642.6,0.25,175.98000000000002,7.700000000000003,0
71.89,46.02,80.65,11.14,307.62,264.55,2017.35,0.66,152.54000000000002,25.869999999999997,0
115.04,52.21,116.95,14.86,792.93,316.94,2232.95,0.56,231.99,62.830000000000005,1
65.94,61.99,67.13,46.22,1208.43,106.75,1788.15,0.99,133.07,3.9499999999999957,0
118.99,102.27,56.23,25.21,932.26,120.92,1572.39,0.98,175.22,16.72,1
59.11,102.12,83.48,38.34,386.22,75.32,2213.97,0.58,142.59,-43.010000000000005,0
89.38,67.85,98.33,28.59,966.89,190.56,2527.65,0.89,187.70999999999998,21.53,1
89.7,97.79,55.34,40.07,943.98,115.75,2157.43,0.37,145.04000000000002,-8.090000000000003,0
118.03,100.1,66.28,49.95,1058.36,327.71,2127.61,0.5,184.31,17.930000000000007,1
53.26,93.51,54.47,20.84,874.76,235.03,1644.71,0.89,107.72999999999999,-40.25000000000001,1
100.65,95.91,106.31,16.37,242.2,100.14,2583.79,0.51,206.96,4.740000000000009,0
104.93,61.23,84.54,39.19,436.72,323.91,1908.41,0.61,189.47000000000003,43.70000000000001,0
76.12,78.67,66.63,14.36,880.53,124.72,2512.53,0.86,142.75,-2.549999999999997,0
120.14,70.37,68.58,40.44,1409.35,244.34,1874.67,0.82,188.72,49.769999999999996,1
122.8,93.2,117.87,12.0,1344.23,347.17,2479.25,0.26,240.67000000000002,29.599999999999994,1
68.77,106.67,53.51,48.38,1287.09,216.56,2301.0,0.52,122.28,-37.900000000000006,0
96.1,97.31,67.55,15.23,1074.77,231.4,2026.38,0.57,163.64999999999998,-1.210000000000008,0
50.72,105.01,96.16,40.26,123.7,308.4,2095.31,0.75,146.88,-54.290000000000006,0
91.44,107.78,73.16,14.7,173.63,276.99,1734.18,0.99,164.6,-16.340000000000003,0
100.5,75.88,51.12,45.8,393.2,123.74,1492.48,0.29,151.62,24.620000000000005,0
64.45,102.03,69.31,10.28,1285.87,346.51,1315.68,0.84,133.76,-37.58,1
113.9,61.72,94.86,44.07,148.64,104.35,2884.48,0.4,208.76,52.18000000000001,0
129.43,75.63,81.66,47.79,1186.36,215.09,1910.77,0.33,211.09,53.80000000000001,1
78.48,83.43,53.01,37.83,958.17,90.85,2624.47,0.52,131.49,-4.950000000000003,0
109.97,71.01,124.6,18.06,583.29,248.73,2221.2,0.7,234.57,38.959999999999994,1
61.37,74.88,62.68,33.59,1280.48,250.51,1728.92,1.0,124.05,-13.509999999999998,1
60.27,75.31,107.99,26.37,1388.55,254.61,1579.18,0.59,168.26,-15.04,0
111.52,56.28,56.03,26.74,309.2,147.47,2511.46,0.29,167.55,55.239999999999995,0
87.39,44.2,51.47,34.49,105.74,305.16,2380.32,0.7,138.86,43.19,0
80.05,99.85,110.98,38.86,399.49,328.08,1449.08,0.69,191.03,-19.799999999999997,0
96.27,85.17,129.22,38.01,675.26,89.52,2104.96,0.23,225.49,11.099999999999994,0
65.04,60.86,89.24,18.64,271.84,174.57,2368.67,0.44,154.28,4.180000000000007,0
89.01,70.12,53.18,24.28,1474.25,271.67,1691.59,0.95,142.19,18.89,1
127.03,68.02,63.35,46.21,406.86,254.16,2998.0,0.86,190.38,59.010000000000005,0
73.07,44.49,118.99,28.58,1302.11,84.13,2737.16,0.25,192.06,28.57999999999999,1
106.21,72.86,79.21,18.18,185.09,226.62,1901.91,0.36,185.42,33.349999999999994,0
67.77,97.61,110.5,39.85,481.54,345.84,2034.29,0.21,178.26999999999998,-29.840000000000003,0
108.52,45.58,127.11,46.0,184.77,267.2,1602.63,0.87,235.63,62.94,0
63.41,76.3,105.25,21.15,1022.37,293.83,2149.97,0.24,168.66,-12.89,0
88.39,102.29,121.97,31.07,1249.19,194.49,1500.12,0.54,210.36,-13.900000000000006,0
59.83,42.8,71.6,14.36,774.72,212.82,2700.98,0.28,131.43,17.03,1
108.61,59.27,54.85,48.28,1241.01,331.74,2464.77,0.98,163.46,49.339999999999996,1
96.59,85.19,66.5,24.54,1062.64,232.68,2224.44,0.51,163.09,11.400000000000006,1
71.86,57.66,122.98,13.65,604.53,296.25,1569.92,0.96,194.84,14.200000000000003,0
113.54,43.47,125.23,40.01,881.13,191.89,1407.35,0.46,238.77,70.07000000000001,1
70.53,59.83,129.14,40.69,1344.8,225.19,1628.16,0.88,199.67,10.700000000000003,0
86.03,73.19,82.18,36.51,1305.02,266.67,1722.55,0.47,168.21,12.840000000000003,1
56.28,85.97,91.94,23.99,1051.55,267.15,2760.43,0.9,148.22,-29.689999999999998,0
128.5,43.7,68.21,28.77,121.91,295.72,1337.64,0.73,196.70999999999998,84.8,0
121.35,103.78,64.4,20.96,584.96,242.19,2802.98,0.81,185.75,17.569999999999993,0
76.16,86.85,81.86,38.56,759.75,299.3,1842.81,0.85,158.01999999999998,-10.689999999999998,0
129.4,92.63,54.51,40.03,958.0,170.84,1989.39,0.45,183.91,36.77000000000001,1
62.1,107.89,118.41,20.19,672.61,113.78,1700.79,0.66,180.51,-45.79,0
86.94,83.14,95.19,37.77,565.43,176.29,2369.4,0.45,182.13,3.799999999999997,0
73.72,53.31,75.22,47.69,762.94,292.67,2315.11,0.75,148.94,20.409999999999997,1
99.86,101.81,127.24,28.79,975.83,204.22,2095.22,0.83,227.1,-1.9500000000000028,0
69.26,67.46,99.16,44.21,283.42,261.62,1375.07,0.41,168.42000000000002,1.8000000000000114,0
69.36,68.1,74.12,34.95,855.31,133.29,2866.32,0.44,143.48000000000002,1.2600000000000051,0
117.59,93.26,109.3,37.81,189.49,306.56,2712.63,0.37,226.89,24.33,0
62.93,108.7,111.43,12.07,1259.28,269.42,2400.91,0.32,174.36,-45.77,1
94.42,64.77,73.78,10.0,959.66,215.48,2584.53,0.21,168.2,29.650000000000006,1
129.02,88.42,92.76,31.19,513.53,177.94,1447.02,0.65,221.78000000000003,40.60000000000001,0
106.2,43.43,98.34,26.03,994.21,301.23,1458.46,0.35,204.54000000000002,62.77,1
95.88,56.3,72.45,37.05,169.67,328.2,1409.67,0.79,168.32999999999998,39.58,0
56.05,71.89,97.26,21.7,600.18,158.49,1662.31,0.86,153.31,-15.840000000000003,0
73.43,75.23,57.6,30.97,756.23,226.25,2453.5,0.79,131.03,-1.7999999999999972,0
127.59,46.86,72.9,44.73,977.68,169.92,2006.78,0.95,200.49,80.73,1
52.2,43.62,86.17,13.95,414.66,138.26,2152.28,0.93,138.37,8.580000000000005,0
68.53,43.15,56.86,19.08,661.86,335.2,2576.49,0.61,125.39,25.380000000000003,1
54.18,90.35,82.84,29.38,403.46,80.99,2444.04,0.38,137.02,-36.169999999999995,0
99.87,44.76,71.63,35.09,440.69,244.97,1911.13,0.23,171.5,55.11000000000001,1
90.38,105.26,125.41,17.01,1176.63,309.14,2230.61,0.69,215.79,-14.88000000000001,0
90.71,40.5,124.46,20.9,717.6,232.83,1611.38,0.83,215.17,50.209999999999994,1
100.35,50.76,97.4,14.49,1262.19,241.66,1974.65,0.56,197.75,49.589999999999996,1
113.9,78.93,88.7,26.39,910.91,283.32,2903.95,0.93,202.60000000000002,34.97,1
93.71,50.01,50.91,25.67,1165.12,278.1,2852.16,0.36,144.62,43.699999999999996,1
114.24,80.05,101.24,45.68,866.83,104.83,2872.76,0.72,215.48,34.19,1
53.65,102.38,76.35,10.33,1034.65,293.22,1685.64,0.39,130.0,-48.73,1
61.4,48.88,110.67,24.42,689.88,123.55,1376.69,0.74,172.07,12.519999999999996,0
105.64,64.84,126.91,47.48,1055.89,215.35,1603.92,0.77,232.55,40.8,1
94.35,96.21,126.06,40.2,1197.18,252.18,2316.63,0.98,220.41,-1.8599999999999994,0
99.04,43.02,87.18,21.66,325.63,279.87,2760.37,0.86,186.22000000000003,56.02,0
121.24,50.81,82.85,36.89,675.46,333.28,2133.34,0.99,204.08999999999997,70.42999999999999,1
58.15,98.72,126.03,41.43,1339.32,176.61,1504.56,0.93,184.18,-40.57,0
101.53,64.47,71.2,39.09,965.0,103.82,1502.46,0.56,172.73000000000002,37.06,1
91.42,81.67,90.33,14.32,1439.64,252.86,2609.07,0.87,181.75,9.75,1
127.59,60.13,115.43,24.68,560.79,122.14,2984.3,0.52,243.02,67.46000000000001,1
115.42,66.75,117.14,12.63,1195.42,259.34,2498.47,0.55,232.56,48.67,1
125.45,52.54,115.66,15.15,696.79,249.19,2491.67,0.91,241.11,72.91,1
105.06,88.14,85.88,14.79,876.41,142.05,1680.28,0.32,190.94,16.92,1
115.4,88.79,77.39,13.97,1306.19,170.85,2748.65,0.48,192.79000000000002,26.61,1
54.13,70.34,112.63,20.6,1421.91,347.13,2381.43,0.6,166.76,-16.21,1
108.53,42.82,102.39,18.94,771.48,275.49,2975.63,0.55,210.92000000000002,65.71000000000001,1
69.94,70.41,64.28,21.65,1286.59,317.77,2358.69,0.31,134.22,-0.46999999999999886,1
99.22,73.74,69.37,31.15,188.65,154.94,2085.54,0.72,168.59,25.480000000000004,0
51.61,56.67,110.51,29.34,665.64,201.64,2746.02,0.98,162.12,-5.060000000000002,0
91.12,61.97,94.97,26.09,1454.25,315.32,1554.95,0.34,186.09,29.150000000000006,1
121.36,47.37,112.45,25.36,870.41,303.23,2633.95,0.29,233.81,73.99000000000001,1
92.99,54.63,67.22,29.76,1406.56,98.01,2451.45,0.44,160.20999999999998,38.35999999999999,1
111.24,108.28,102.38,36.42,208.48,94.37,2276.78,0.3,213.62,2.9599999999999937,0
50.93,86.18,114.47,42.92,913.66,126.45,2855.59,0.76,165.4,-35.25000000000001,0
94.31,77.52,59.37,45.21,624.07,225.29,1745.25,0.41,153.68,16.790000000000006,0
90.47,53.77,125.21,33.41,1000.45,79.39,1904.6,0.74,215.68,36.699999999999996,1
80.42,74.74,94.55,41.85,269.42,140.73,1907.92,0.49,174.97,5.680000000000007,0
99.65,58.68,129.65,36.88,1479.61,202.8,2965.44,0.36,229.3,40.970000000000006,1
85.22,83.62,100.0,12.33,209.35,314.33,1775.2,0.71,185.22,1.5999999999999943,0
88.93,77.88,63.48,27.42,128.48,216.7,2696.7,0.79,152.41,11.050000000000011,0
68.64,63.12,108.36,19.29,347.9,328.6,1643.22,0.33,177.0,5.520000000000003,0
114.57,96.77,118.25,46.55,643.75,339.34,1867.42,0.57,232.82,17.799999999999997,0
77.71,72.67,65.78,29.03,1170.39,156.87,2499.46,0.62,143.49,5.039999999999992,0
128.8,73.84,79.58,15.25,556.37,278.3,2636.7,0.81,208.38,54.96000000000001,1
68.26,46.83,67.18,39.81,828.48,114.67,1694.37,0.26,135.44,21.430000000000007,1
122.2,51.84,72.55,14.42,1476.56,151.98,2082.65,0.21,194.75,70.36,1
52.1,69.9,121.61,17.78,828.57,205.2,2482.79,0.52,173.71,-17.800000000000004,0
51.46,83.8,59.03,27.7,1122.76,209.86,2302.58,0.87,110.49000000000001,-32.339999999999996,1
121.07,90.12,60.43,29.01,223.59,151.69,1312.61,0.36,181.5,30.94999999999999,0
53.15,69.08,74.38,37.91,208.73,340.93,1783.18,0.99,127.53,-15.93,0
112.55,62.87,72.04,27.4,1161.11,169.86,1387.72,0.22,184.59,49.68,1
112.95,63.61,76.74,18.56,1331.05,226.04,2507.04,0.88,189.69,49.34,1
84.03,76.73,67.42,27.55,1127.69,262.61,2501.01,0.79,151.45,7.299999999999997,0
117.87,86.65,116.33,49.91,609.3,297.4,2523.53,0.64,234.2,31.22,0
74.88,89.08,69.48,23.17,204.06,142.36,2703.24,0.46,144.36,-14.200000000000003,0
82.77,107.07,96.67,45.25,188.31,93.09,2905.48,0.63,179.44,-24.299999999999997,0
52.49,103.79,93.51,28.95,134.53,152.07,2258.22,0.92,146.0,-51.300000000000004,0
52.4,59.64,121.74,24.53,1443.9,256.82,2617.18,0.92,174.14,-7.240000000000002,0
105.38,65.28,92.68,11.28,1472.76,204.98,2534.51,0.72,198.06,40.099999999999994,1
64.5,98.42,56.04,28.49,218.55,94.5,2658.05,0.47,120.53999999999999,-33.92,0
56.54,95.84,52.91,14.17,490.19,172.01,1986.61,0.89,109.44999999999999,-39.300000000000004,0
117.72,103.17,119.6,23.55,955.83,101.59,2633.58,0.99,237.32,14.549999999999997,0
98.15,97.85,64.68,22.1,1259.65,181.99,2771.8,0.29,162.83,0.30000000000001137,0
71.76,100.88,95.48,12.09,1206.58,320.82,2119.55,0.79,167.24,-29.11999999999999,1
75.84,44.81,79.39,39.27,1442.17,331.09,2536.5,0.3,155.23000000000002,31.03,1
75.25,92.33,114.86,10.85,646.27,231.61,1940.51,0.72,190.11,-17.08,0
89.86,93.35,78.75,11.03,701.08,315.78,1909.58,0.3,168.61,-3.489999999999995,0
52.51,46.48,78.2,33.06,669.61,203.11,1429.95,0.75,130.71,6.030000000000001,0
125.66,45.95,105.45,42.09,924.17,83.55,2023.26,0.75,231.11,79.71,1
114.63,69.29,103.39,21.79,228.71,97.61,1558.84,0.38,218.01999999999998,45.33999999999999,0
121.21,70.11,76.21,43.56,953.57,243.3,2849.37,0.23,197.42,51.099999999999994,1
98.63,80.94,98.54,38.52,565.72,134.1,2948.09,0.35,197.17000000000002,17.689999999999998,0
120.17,60.57,69.83,25.56,886.52,320.36,1449.36,0.67,190.0,59.6,1
113.64,100.3,128.69,24.73,1025.44,101.39,2163.14,0.95,242.32999999999998,13.340000000000003,0
97.44,75.4,57.14,41.07,1169.68,335.96,2548.0,0.92,154.57999999999998,22.039999999999992,1
112.43,69.09,123.97,43.02,1183.9,276.17,1323.14,0.78,236.4,43.34,1
60.22,87.44,91.17,45.66,1106.88,335.46,1490.74,0.98,151.39,-27.22,0
83.09,103.82,56.96,39.17,1165.78,309.55,1837.5,0.58,140.05,-20.72999999999999,0
61.21,96.38,82.96,27.36,809.05,289.13,2990.97,0.55,144.17,-35.169999999999995,0
56.68,93.04,63.74,40.15,1480.35,224.52,1432.81,0.77,120.42,-36.36000000000001,1
129.02,87.78,90.3,49.32,1430.77,315.88,2029.59,0.9,219.32,41.24000000000001,1
93.48,68.78,55.93,22.27,1150.02,91.67,1919.19,0.55,149.41,24.700000000000003,1
50.94,82.23,115.02,40.77,1432.88,230.5,2971.81,0.78,165.95999999999998,-31.290000000000006,0
84.32,99.14,76.36,28.42,318.77,295.61,1900.39,0.21,160.68,-14.820000000000007,0
82.89,54.82,111.78,46.96,392.24,341.43,2829.29,0.4,194.67000000000002,28.07,0
52.11,105.66,68.63,17.56,705.7,98.79,1938.01,0.59,120.74,-53.55,0
59.18,86.67,106.41,38.5,203.07,272.64,1791.76,0.87,165.59,-27.490000000000002,0
89.39,63.36,128.24,31.88,646.98,216.62,2933.51,0.37,217.63,26.03,0
71.93,92.17,66.75,31.91,877.01,124.57,2996.43,0.92,138.68,-20.239999999999995,0
57.96,84.09,61.95,17.36,1435.12,215.75,2898.83,0.89,119.91,-26.130000000000003,1
85.13,92.77,69.05,22.47,1392.45,168.4,2857.9,0.38,154.18,-7.640000000000001,1
121.45,72.48,73.03,23.41,982.85,309.47,1726.71,0.49,194.48000000000002,48.97,1
79.25,102.37,97.95,22.89,1347.47,188.0,2774.64,0.61,177.2,-23.120000000000005,0
86.66,88.47,69.22,26.77,986.35,112.51,1910.34,0.48,155.88,-1.8100000000000023,0
125.06,105.89,61.94,49.61,706.73,133.55,1698.34,0.69,187.0,19.17,0
110.34,50.1,118.29,33.75,602.75,77.64,2791.66,0.26,228.63,60.24,1
85.01,61.55,114.26,39.96,896.28,324.78,2181.48,0.56,199.27,23.460000000000008,1
52.43,100.65,119.71,42.58,688.96,95.57,2260.04,0.82,172.14,-48.220000000000006,0
97.75,69.83,53.11,35.37,1119.0,118.77,1301.04,0.31,150.86,27.92,1
93.16,100.63,112.72,46.88,698.77,105.14,2503.93,0.78,205.88,-7.469999999999999,0
60.74,101.23,63.15,27.27,1396.72,121.93,1912.47,0.39,123.89,-40.49,1
50.79,87.84,71.1,40.89,1230.05,324.16,2736.69,0.64,121.88999999999999,-37.050000000000004,0
62.2,105.68,58.84,18.0,181.26,151.01,2712.29,0.54,121.04,-43.480000000000004,0
99.57,97.42,92.99,36.49,1468.0,241.64,1429.57,0.36,192.56,2.1499999999999915,0
86.07,43.52,76.7,49.46,773.83,318.62,1395.42,0.32,162.76999999999998,42.54999999999999,1
129.71,85.08,91.48,37.76,1308.24,330.09,2833.58,0.82,221.19,44.63000000000001,1
128.49,86.4,54.62,10.23,608.67,203.46,2629.73,0.54,183.11,42.09,1
61.71,76.44,97.44,17.72,336.0,123.21,1995.55,0.9,159.15,-14.729999999999997,0
128.98,44.97,128.46,31.18,695.43,202.55,1695.41,0.3,257.44,84.00999999999999,1
105.49,81.04,116.54,12.23,755.05,265.93,2441.83,0.54,222.03,24.44999999999999,1
100.77,78.25,60.15,43.42,1066.77,115.53,2482.02,0.27,160.92,22.519999999999996,1
63.4,50.04,62.68,44.96,1459.71,139.97,2146.14,0.8,126.08,13.36,1
57.81,108.63,119.89,43.84,1291.53,204.76,2491.81,0.36,177.7,-50.81999999999999,0
58.85,78.27,59.03,40.64,1104.78,177.06,2311.21,0.49,117.88,-19.419999999999995,0
58.53,109.76,123.11,48.96,605.53,121.65,2517.7,0.85,181.64,-51.230000000000004,0
112.85,92.46,53.09,44.12,591.01,325.71,2153.62,0.44,165.94,20.39,0
112.03,73.45,93.43,41.88,1269.04,269.67,1603.67,0.68,205.46,38.58,1
91.98,68.32,93.75,42.52,1271.4,269.34,2811.79,0.75,185.73000000000002,23.66000000000001,1
125.52,88.8,72.37,47.11,1135.19,182.64,1942.65,0.66,197.89,36.72,1
82.94,59.37,68.76,47.49,1251.55,331.56,1544.2,0.65,151.7,23.57,1
