v_ego,v_followed,v_oncoming,dist_flw_m,dist_oncom_m,engine_power_kw,weight_kg,road_friction,driver_age,years_driving,km_driven,rel_v_oncoming,rel_v_followed,target
136.5,37.04,131.08,74.45,1305.35,148.97,2168.41,0.67,65.61,24.39,29.64,267.58,99.46,1
118.66,98.83,121.46,97.1,1467.89,218.93,2187.57,0.55,41.5,28.77,177.0,240.12,19.83,0
35.03,121.71,78.26,89.95,1476.69,231.71,1765.57,0.17,33.31,36.38,200.58,113.29,-86.68,0
50.51,120.63,59.68,10.33,1008.51,92.54,2931.61,0.41,33.86,36.02,352.1,110.19,-70.12,1
113.07,77.02,106.98,52.54,1899.47,57.61,2356.09,0.83,55.78,21.66,161.85,220.05,36.05,1
121.86,124.16,42.05,16.34,1359.69,216.64,2459.66,0.75,24.73,28.62,140.33,163.91,-2.3,1
108.94,49.49,70.36,72.76,1192.66,140.0,2189.3,0.19,58.46,47.11,444.44,179.3,59.45,1
136.14,56.1,60.91,57.76,1283.32,123.51,2359.73,0.8,71.17,26.33,118.48,197.05,80.04,1
38.29,21.53,145.04,80.9,324.31,139.99,1924.04,0.37,80.31,33.35,239.84,183.33,16.76,0
31.45,53.47,118.41,27.39,1527.02,139.88,1963.93,0.38,49.1,15.07,389.99,149.86,-22.02,1
114.14,23.41,58.46,81.71,302.42,99.07,2610.34,0.65,39.81,30.11,95.74,172.6,90.73,0
31.59,47.7,90.15,90.74,807.72,265.64,1801.3,0.77,29.3,3.88,73.31,121.74,-16.11,0
57.52,69.76,79.36,16.39,999.03,218.65,2476.31,0.87,17.16,43.42,169.61,136.88,-12.24,1
76.26,43.18,88.0,46.56,1477.92,262.29,2323.31,0.51,46.86,44.38,106.55,164.26,33.08,1
59.65,87.99,102.35,89.55,356.63,96.15,1560.31,0.85,65.56,6.64,9.66,162.0,-28.34,0
91.52,75.16,42.69,84.92,422.61,257.23,2525.51,0.49,36.97,36.73,49.78,134.21,16.36,0
92.67,34.79,147.39,80.7,397.68,117.33,2973.17,0.57,21.65,45.04,341.59,240.06,57.88,0
58.17,39.32,86.65,12.2,1079.72,146.02,1993.61,0.23,83.97,39.67,456.68,144.82,18.85,1
143.98,48.39,115.56,53.08,491.66,65.29,2361.11,0.19,82.37,12.99,165.01,259.54,95.59,0
52.87,114.01,98.97,29.57,368.49,208.7,2018.72,0.86,19.11,31.57,342.35,151.84,-61.14,0
137.12,88.52,79.41,21.76,1877.57,86.3,2631.26,0.11,28.54,42.89,469.2,216.53,48.6,1
43.25,20.75,41.19,88.94,1235.33,155.34,1701.02,0.73,26.68,28.16,299.25,84.44,22.5,1
135.89,82.91,121.2,34.81,1643.55,258.39,1892.48,0.39,21.03,4.4,40.17,257.09,52.98,1
51.23,49.8,122.9,76.35,1092.13,141.97,1514.3,0.75,40.98,27.87,37.28,174.13,1.43,0
39.26,70.66,33.79,79.22,934.54,71.99,2686.11,0.75,26.17,34.95,192.67,73.05,-31.4,0
143.31,29.98,85.24,82.81,1707.83,92.57,2775.59,0.88,87.84,1.12,392.13,228.55,113.33,1
57.44,115.48,118.55,14.37,1933.0,215.1,2791.63,0.28,39.36,31.36,489.2,175.99,-58.04,1
32.42,124.09,45.17,10.97,1563.53,201.12,2985.93,0.68,78.84,4.42,368.41,77.59,-91.67,1
100.83,74.89,87.63,61.45,163.35,258.67,2798.5,0.6,47.0,35.98,251.88,188.46,25.94,0
105.32,114.93,86.2,34.6,730.82,118.37,1530.41,0.28,32.64,18.55,327.59,191.52,-9.61,0
134.77,84.88,128.68,62.56,1286.66,174.62,2790.81,0.64,59.13,9.76,95.56,263.45,49.89,1
148.18,114.98,92.33,14.4,1042.79,147.12,1620.27,0.11,44.94,31.15,293.2,240.51,33.2,1
56.92,20.26,131.95,19.57,1400.72,256.39,1609.58,0.7,26.93,21.8,477.53,188.87,36.66,1
81.75,65.63,77.51,98.72,1201.6,192.79,2218.77,0.42,54.03,44.51,311.88,159.26,16.12,0
97.99,45.37,98.25,80.15,760.13,109.92,2443.74,0.54,40.11,27.96,286.15,196.24,52.62,1
99.23,97.12,133.26,92.56,1671.69,84.07,2702.5,0.39,15.25,19.91,118.1,232.49,2.11,0
35.49,96.11,45.39,99.47,1636.55,90.6,2370.9,0.86,41.7,2.39,343.13,80.88,-60.62,0
83.57,84.77,93.28,96.91,1763.54,261.39,2164.64,0.35,70.66,3.05,310.3,176.85,-1.2,0
93.08,128.68,123.02,12.3,1462.84,203.47,1354.89,0.6,53.07,3.51,58.47,216.1,-35.6,1
110.19,34.37,95.64,48.94,1417.1,222.7,2678.77,0.31,50.11,43.57,433.95,205.83,75.82,1
128.3,84.42,127.47,24.0,1180.84,59.74,1462.25,0.57,64.6,1.96,5.31,255.77,43.88,1
84.04,96.95,80.2,34.44,1833.86,56.34,2396.53,0.73,44.33,1.09,176.15,164.24,-12.91,1
48.13,97.8,78.17,42.37,1526.5,150.57,1985.87,0.9,15.28,16.34,328.25,126.3,-49.67,1
30.0,49.6,34.68,91.29,1858.66,89.92,2114.82,0.5,51.01,20.03,156.05,64.68,-19.6,1
50.08,33.41,116.13,80.83,1774.64,253.45,2782.12,0.5,53.09,9.1,58.49,166.21,16.67,1
40.03,30.74,124.07,84.85,278.88,152.09,1673.6,0.68,38.24,14.2,251.13,164.1,9.29,0
87.28,57.65,44.56,19.55,1630.48,164.86,2218.19,0.67,44.97,13.55,352.81,131.84,29.63,1
114.36,28.77,107.89,34.63,438.23,288.01,2836.68,0.38,71.98,17.14,89.63,222.25,85.59,1
80.71,77.02,45.65,47.67,339.34,227.46,2810.95,0.89,45.9,1.7,360.27,126.36,3.69,0
91.9,25.88,59.5,35.27,1579.23,156.84,2156.99,0.95,45.96,40.89,458.47,151.4,66.02,1
62.66,70.55,131.91,96.83,1549.14,157.04,2677.26,0.99,87.79,31.24,107.05,194.57,-7.89,0
114.12,101.35,73.58,15.43,1258.05,122.78,2814.37,0.96,71.64,12.32,160.24,187.7,12.77,1
146.96,20.59,146.49,90.64,1002.86,168.14,2510.95,0.85,48.97,11.35,288.51,293.45,126.37,1
57.13,80.88,64.16,43.67,1344.61,55.99,1916.54,0.36,19.98,29.74,464.0,121.29,-23.75,0
37.98,107.51,91.08,79.08,1919.51,105.82,2023.02,0.39,74.08,24.99,483.98,129.06,-69.53,0
101.53,107.12,40.39,66.33,1732.78,122.77,1888.62,0.51,24.91,21.25,220.46,141.92,-5.59,0
56.96,46.13,47.47,24.66,338.76,157.99,2246.44,0.79,47.18,32.83,471.68,104.43,10.83,0
131.93,44.85,32.39,81.32,693.11,134.99,1579.38,0.67,54.45,36.34,111.4,164.32,87.08,1
103.8,127.28,82.36,28.36,771.85,279.15,1897.82,0.75,17.88,39.52,137.54,186.16,-23.48,0
133.72,90.86,93.49,19.79,1410.57,56.69,1810.75,0.44,30.48,21.37,94.73,227.21,42.86,1
109.48,22.04,79.08,21.93,986.47,91.92,2358.14,0.72,56.24,19.2,334.97,188.56,87.44,1
70.85,45.03,69.8,64.56,1992.62,244.48,2953.33,0.51,18.87,13.7,471.12,140.65,25.82,1
86.24,63.0,74.44,11.96,1133.1,274.54,2183.3,0.63,20.14,26.98,74.32,160.68,23.24,1
101.84,57.4,102.87,17.5,1360.23,291.66,1672.26,0.18,28.55,42.2,369.64,204.71,44.44,1
145.38,125.92,143.62,87.57,1576.14,202.54,2385.6,0.14,23.95,7.0,418.06,289.0,19.46,0
86.65,20.95,46.13,51.26,985.63,151.02,1654.05,0.44,40.89,23.67,447.06,132.78,65.7,1
68.75,62.81,58.28,93.81,509.28,268.17,2997.99,0.7,53.53,41.06,371.69,127.03,5.94,0
74.54,30.42,120.69,66.02,1355.39,223.47,2961.47,0.36,52.84,40.83,482.05,195.23,44.12,1
117.18,36.43,97.25,32.86,1739.84,185.39,1931.93,0.8,25.8,38.79,104.62,214.43,80.75,1
49.47,51.09,103.61,79.31,1695.89,247.43,1427.38,0.37,20.81,18.82,429.14,153.08,-1.62,0
49.71,121.83,64.79,77.41,1790.5,275.76,1750.8,0.62,19.34,26.83,123.62,114.5,-72.12,0
144.79,93.37,134.84,58.25,1404.22,172.04,2726.78,0.19,72.74,37.19,150.67,279.63,51.42,1
143.67,43.26,71.33,96.34,1755.45,104.66,2835.85,0.22,53.42,22.99,63.86,215.0,100.41,1
121.32,41.75,107.06,60.74,883.13,192.48,2605.12,0.91,56.19,23.83,191.89,228.38,79.57,1
102.52,111.33,124.81,86.69,1485.71,194.43,1872.62,0.99,49.23,31.66,182.22,227.33,-8.81,0
49.6,107.05,145.45,79.64,146.4,77.9,2747.1,0.86,72.2,11.18,356.66,195.05,-57.45,0
55.02,56.52,98.91,66.49,1890.17,273.16,2169.26,0.19,24.82,2.58,260.23,153.93,-1.5,0
104.51,123.12,104.6,66.51,1167.22,234.09,2696.67,0.52,89.85,2.11,225.51,209.11,-18.61,0
131.64,86.74,54.17,25.55,447.32,186.27,2191.53,0.15,50.29,49.32,167.99,185.81,44.9,1
146.33,23.06,102.61,57.38,258.92,186.99,2634.62,0.84,48.53,8.1,56.8,248.94,123.27,0
105.15,64.52,86.23,45.21,1882.18,180.13,2740.11,0.41,47.1,5.09,167.84,191.38,40.63,1
85.52,118.01,49.85,46.33,1748.13,83.62,1640.14,0.59,21.73,44.82,409.17,135.37,-32.49,1
85.31,48.88,69.63,10.3,1186.71,256.39,1924.13,0.69,69.55,43.42,195.24,154.94,36.43,1
124.21,20.29,95.24,45.26,1487.95,179.41,1791.2,0.19,48.54,29.51,265.19,219.45,103.92,1
112.61,82.35,34.53,98.2,1667.91,126.88,1588.48,0.67,45.42,26.27,388.55,147.14,30.26,1
66.94,116.07,130.51,43.12,1501.67,77.67,1510.76,0.93,30.07,43.09,379.68,197.45,-49.13,0
103.9,79.13,82.15,85.04,1180.29,125.16,1797.4,0.85,31.65,5.44,23.82,186.05,24.77,1
127.31,54.83,144.44,80.27,1480.8,76.79,2275.08,0.3,20.32,34.88,348.98,271.75,72.48,1
128.85,27.48,54.12,55.37,1193.64,225.92,1924.3,0.75,38.84,42.99,493.69,182.97,101.37,1
34.73,113.85,72.09,86.58,967.54,75.66,1669.59,0.86,89.52,38.26,199.78,106.82,-79.12,0
44.47,45.71,117.4,47.6,128.13,76.11,2377.97,0.94,85.13,47.22,320.43,161.87,-1.24,0
114.8,67.91,78.45,84.77,1380.45,117.78,1921.31,0.56,30.41,25.64,108.15,193.25,46.89,1
121.12,105.95,63.85,27.19,909.18,74.89,2656.7,0.92,56.47,40.16,316.84,184.97,15.17,1
111.12,82.77,110.93,91.11,370.08,233.55,1999.87,0.71,52.76,18.53,52.37,222.05,28.35,0
110.14,57.24,86.77,79.37,381.37,133.44,1649.42,0.82,50.0,39.02,158.91,196.91,52.9,0
53.35,20.42,107.33,59.09,1349.35,206.13,2077.09,0.38,41.82,12.01,170.2,160.68,32.93,1
130.7,65.04,110.76,62.29,537.05,212.6,1321.03,0.65,24.28,49.93,430.68,241.46,65.66,0
97.04,83.7,72.65,99.36,278.91,285.62,2291.48,0.51,32.71,48.18,222.3,169.69,13.34,0
80.55,94.5,144.48,28.19,1395.09,225.84,2766.64,0.25,67.29,23.99,248.76,225.03,-13.95,0
149.6,29.87,119.42,14.3,1828.31,228.81,1591.93,0.66,35.67,39.79,181.51,269.02,119.73,1
127.5,107.77,100.36,14.8,1728.52,72.64,1687.94,0.39,56.7,12.87,7.26,227.86,19.73,1
119.08,40.48,141.69,79.09,1922.55,65.72,2494.24,0.21,60.06,31.28,135.6,260.77,78.6,1
75.11,116.94,31.23,78.37,868.19,192.81,2504.24,0.96,85.35,8.42,32.96,106.34,-41.83,0
76.33,128.93,75.63,10.95,1545.01,234.79,1481.25,0.2,72.03,2.72,319.88,151.96,-52.6,1
57.37,103.71,102.83,95.21,936.53,220.77,1956.04,0.3,25.75,14.01,499.92,160.2,-46.34,0
134.84,64.39,120.6,42.64,932.39,167.29,1956.68,0.67,16.01,30.16,493.42,255.44,70.45,1
75.23,70.11,53.42,48.53,504.93,263.65,2321.49,0.86,21.14,29.11,301.0,128.65,5.12,0
31.65,46.64,95.09,92.36,1332.5,283.77,2315.14,0.66,54.84,3.4,458.54,126.74,-14.99,0
110.73,129.56,87.95,64.73,1666.69,184.68,1643.97,0.76,57.79,11.49,395.3,198.68,-18.83,0
31.72,75.02,67.61,91.56,1260.49,142.51,2988.84,0.84,56.41,6.6,480.13,99.33,-43.3,0
98.64,120.49,38.78,44.79,1402.5,103.45,2206.78,0.22,58.75,43.54,8.74,137.42,-21.85,0
65.09,106.16,46.83,80.19,436.48,87.9,2847.71,0.87,39.26,1.03,400.93,111.92,-41.07,0
114.76,128.46,53.92,78.58,769.87,238.74,1838.13,0.21,27.33,2.74,116.02,168.68,-13.7,0
39.22,78.14,135.76,72.17,929.49,161.56,1464.26,0.47,69.16,43.37,38.79,174.98,-38.92,0
128.04,95.68,117.67,91.59,501.77,145.27,2335.97,0.9,84.23,26.22,306.4,245.71,32.36,0
77.02,87.51,34.39,78.93,358.03,165.93,2498.6,0.96,41.53,31.13,240.38,111.41,-10.49,0
56.65,100.03,103.35,48.76,1522.31,263.88,1653.31,0.66,71.25,37.97,431.02,160.0,-43.38,0
32.3,44.21,48.65,56.57,961.14,179.1,1782.83,0.85,21.4,48.82,217.77,80.95,-11.91,0
116.88,38.53,94.45,34.12,1505.26,94.51,1467.27,0.86,39.97,8.77,358.78,211.33,78.35,1
58.94,63.9,87.56,39.22,1386.08,184.71,1674.05,0.52,56.92,42.82,379.96,146.5,-4.96,0
92.35,22.17,122.81,79.56,1294.8,81.71,2769.71,0.32,34.68,6.17,403.7,215.16,70.18,1
142.98,37.63,105.67,74.73,1209.15,209.26,1865.9,0.14,42.0,35.24,412.18,248.65,105.35,1
79.47,74.18,121.04,99.52,834.6,73.32,2997.44,0.27,88.05,45.56,306.43,200.51,5.29,0
123.49,51.01,101.51,85.9,1314.13,233.6,2738.19,0.56,37.66,9.32,212.29,225.0,72.48,1
125.26,113.07,79.08,60.92,210.26,103.01,2263.03,0.17,44.14,1.63,347.95,204.34,12.19,0
98.47,55.23,77.94,80.64,1679.92,79.71,1832.04,0.74,87.81,42.95,117.26,176.41,43.24,1
52.14,83.95,123.56,37.87,1201.55,237.18,2791.74,0.87,32.09,34.25,214.5,175.7,-31.81,0
92.7,24.86,133.66,52.72,548.25,91.54,2422.7,0.22,42.63,36.35,24.75,226.36,67.84,1
59.68,116.48,40.84,68.85,733.49,210.71,2062.25,0.39,17.6,32.43,208.12,100.52,-56.8,0
80.64,69.92,70.48,30.34,1580.85,89.94,2071.92,0.4,44.74,24.01,219.86,151.12,10.72,1
124.67,114.71,118.25,12.96,777.43,214.45,1790.8,0.63,82.87,35.46,377.31,242.92,9.96,0
134.92,38.83,68.71,56.25,589.56,148.26,1351.17,0.82,50.63,28.63,78.95,203.63,96.09,1
103.55,29.39,110.48,77.05,661.67,64.82,1603.8,0.28,35.53,46.37,395.43,214.03,74.16,1
110.71,99.51,56.87,24.12,1432.43,135.41,2507.57,0.48,35.67,9.74,469.02,167.58,11.2,1
46.71,41.07,131.71,20.43,171.22,203.39,2348.12,0.38,38.29,38.62,127.74,178.42,5.64,0
134.61,80.03,57.83,96.29,781.41,132.52,2015.14,0.22,89.99,9.21,491.19,192.44,54.58,1
35.79,26.09,33.85,16.16,1833.52,108.72,2244.67,0.34,79.91,34.66,389.97,69.64,9.7,1
63.86,88.37,68.03,22.31,811.99,78.84,1717.44,0.18,57.48,22.5,209.5,131.89,-24.51,0
114.75,93.05,124.24,97.06,1028.27,233.31,1614.31,0.94,34.71,28.98,172.39,238.99,21.7,0
127.42,102.41,121.3,25.09,239.8,152.2,2447.62,0.9,65.12,36.56,241.88,248.72,25.01,0
99.35,84.98,134.54,44.91,1660.87,192.49,2810.13,0.55,15.32,38.52,285.03,233.89,14.37,1
140.49,108.04,120.22,66.47,1962.19,238.44,2162.32,0.53,88.51,44.43,325.29,260.71,32.45,1
134.83,50.13,141.87,26.6,1307.28,105.94,1583.05,0.54,56.01,33.38,188.79,276.7,84.7,1
30.56,69.05,36.63,88.12,202.55,175.65,2432.78,0.34,76.34,46.91,105.96,67.19,-38.49,0
39.71,89.72,67.15,65.63,254.64,221.33,1951.56,0.11,78.02,40.07,117.7,106.86,-50.01,0
59.73,76.15,134.7,53.93,1257.23,158.09,1804.47,0.81,56.61,46.64,216.55,194.43,-16.42,0
100.39,81.83,63.13,39.22,430.98,61.66,2753.86,0.52,60.74,35.78,229.45,163.52,18.56,0
107.93,23.68,101.96,47.81,1364.16,187.98,2557.61,0.11,24.53,12.73,423.89,209.89,84.25,1
126.77,94.48,99.44,90.52,524.23,144.84,2432.02,0.62,45.64,13.25,159.18,226.21,32.29,0
77.02,23.96,42.67,97.39,1319.59,255.19,2844.9,0.43,44.96,6.85,168.55,119.69,53.06,1
128.29,110.49,111.41,57.88,1036.42,70.37,2836.33,0.48,53.36,27.89,12.21,239.7,17.8,0
149.66,48.49,55.61,26.88,631.42,258.39,1314.29,0.43,54.25,19.43,198.69,205.27,101.17,1
124.2,115.7,43.24,90.51,1972.59,218.2,1593.29,0.9,39.22,14.53,213.52,167.44,8.5,0
143.23,60.34,139.82,56.53,1388.82,231.29,1681.53,0.13,65.26,3.42,195.55,283.05,82.89,1
133.86,39.35,64.23,38.86,175.36,294.53,1926.01,0.26,21.51,13.32,406.8,198.09,94.51,0
42.31,83.49,71.42,70.36,1260.92,196.06,2311.2,0.78,85.89,38.01,402.22,113.73,-41.18,0
98.87,49.11,62.81,67.3,1278.39,231.23,1609.49,0.52,27.25,28.9,182.13,161.68,49.76,1
34.82,45.12,128.7,16.2,220.55,61.39,1553.87,0.59,44.17,38.8,333.62,163.52,-10.3,0
75.04,108.82,125.15,93.84,1818.72,204.34,1705.87,0.99,31.88,11.53,489.16,200.19,-33.78,0
56.15,126.77,56.07,54.07,1151.71,116.76,2474.8,0.82,89.77,1.97,381.27,112.22,-70.62,0
75.07,39.71,141.06,92.83,1315.8,170.06,1829.68,0.86,59.55,11.65,381.14,216.13,35.36,1
100.35,92.91,70.67,51.27,1586.17,176.45,2692.26,0.46,25.97,42.66,176.75,171.02,7.44,0
128.88,81.03,34.1,15.67,111.53,56.07,1673.95,0.94,18.06,14.75,118.39,162.98,47.85,0
115.05,114.49,127.78,39.31,1470.02,233.72,2438.0,0.13,27.03,36.28,427.08,242.83,0.56,0
79.25,125.38,31.68,92.0,1711.11,248.58,1718.85,0.27,64.46,47.28,90.46,110.93,-46.13,0
103.68,58.09,50.93,16.39,1533.59,257.0,2791.0,0.56,79.54,28.19,22.68,154.61,45.59,1
100.27,123.62,145.05,77.13,1761.43,289.71,1376.83,0.42,33.67,38.19,346.79,245.32,-23.35,0
80.09,81.51,149.22,34.0,689.59,171.86,1511.5,0.87,32.09,22.34,293.03,229.31,-1.42,0
126.94,76.88,103.18,17.4,704.82,212.36,2466.84,0.41,81.31,2.69,228.76,230.12,50.06,1
48.05,90.83,114.71,64.82,1043.87,251.15,1303.34,0.81,69.9,34.17,425.98,162.76,-42.78,0
50.18,30.44,91.93,19.45,747.6,178.71,2811.37,0.92,18.05,49.34,282.28,142.11,19.74,1
49.91,50.6,148.69,39.21,1928.3,202.55,1474.97,0.75,67.83,43.21,457.13,198.6,-0.69,0
30.11,124.57,113.44,18.1,1054.64,113.89,1917.73,0.97,53.92,30.4,253.65,143.55,-94.46,0
90.07,115.94,63.2,70.68,459.35,250.83,2235.62,0.31,51.94,4.54,466.0,153.27,-25.87,0
140.21,100.73,91.36,21.33,407.4,230.46,2369.11,0.54,40.4,43.9,359.09,231.57,39.48,0
